qid,duration1,duration2,duration3,
q01,9949,9749,6874,
q02,2044,1217,992,
q03,16072,19882,14628,
q04,6508,28313,6367,
q05,18498,28976,17649,
q06,561,906,564,
q07,6937,9161,7191,
q08,,,,180340
q09,,,,180390
q10,13373,25032,19261,
q11,1120,1960,1416,
q12,3004,4972,3082,
q13,28054,28054,28054,93133
q14,3056,3593,3424,
q15,1182,1825,1350,
q16,2628,3578,2633,
q17,4266,48595,4552,
q18,30616,20305,25722,
q19,13671,19770,12990,
q20,1267,14946,1281,
q21,53242,53242,53242,180435
q22,8024,5160,7620,
,224072,,218892,
